model,sb,day,time,trial,nEntropy,nnmp,vacuity,dissonance,overall
ecnn1,1,3,PM,6,0.6004032922037529,0.6057166238651689,0.4846506251869229,0.5055305731064853,0.5495505563318075
ecnn1,1,3,PM,7,0.7160392447963944,0.7022071581215389,0.6313845165089008,0.5572236278081732,0.6798716698265791
ecnn1,1,3,PM,8,0.6139672671306038,0.604699411356148,0.5393237501294221,0.4857658090183228,0.5728137078651864
ecnn1,1,3,PM,9,0.6367602470550219,0.6160814123677475,0.6158316239273334,0.5070466976888897,0.6029354579861629
ecnn1,1,3,PM,10,0.6342866269263997,0.6133440453636209,0.5656252476128759,0.4695539506980765,0.5720609128158699
ecnn1,1,3,PM,11,0.6005861055119812,0.5978656694890444,0.5287679688682203,0.4861108839839413,0.5874660712468327
ecnn1,1,3,PM,12,0.6292479206362827,0.6094900888787892,0.5899653696322921,0.4816893605938173,0.5789168962000241
ecnn1,1,4,AM,1,0.5727973602439741,0.5491775718113141,0.4342015767651565,0.4524394414820059,0.5243943770942349
ecnn1,1,4,AM,2,0.4923358891138812,0.4775821200989729,0.4333713071743433,0.3992248930751965,0.4604262995912662
ecnn1,1,4,AM,3,0.5153457878380557,0.5165214737728449,0.485115373600794,0.4441369768103317,0.5033609260346922
ecnn1,1,4,AM,4,0.5376430966922473,0.5434781386861811,0.4417394409664846,0.4631368346923304,0.5140402658414933
ecnn1,1,4,AM,5,0.5721188075982329,0.5479050093678689,0.5442783465968979,0.4307393301985696,0.5166223309348686
ecnn1,1,4,AM,6,0.49744598888331304,0.4916859869798796,0.4353897260467135,0.4122008469115542,0.4729592473539436
ecnn1,1,4,AM,7,0.4806269397591323,0.4776672445920244,0.3769432993244709,0.4013672818662225,0.4574892041208744
ecnn1,1,4,AM,8,0.5999201028316686,0.5888112346033744,0.4732305714221866,0.4694612427462978,0.5603961033222148
ecnn1,1,4,AM,9,0.5386493098595165,0.5286239382834006,0.4903852223707848,0.4083205655022811,0.4812235850877925
ecnn1,1,4,AM,10,0.5997662529247441,0.585710997780843,0.4707726289307187,0.4654169838352496,0.5363839707520567
ecnn1,1,4,AM,11,0.5158950276383195,0.5133283603781418,0.3997202098100061,0.3921090261324299,0.4658696157371777
ecnn1,1,4,AM,12,0.5664727159599712,0.5494180269954491,0.4965982363611337,0.4535746337254928,0.5301760351537368
ecnn1,1,4,PM,1,0.4045525263179463,0.43169028844381024,0.3470875725055865,0.3843235517409633,0.41558156505544935
ecnn1,1,4,PM,2,0.5216713147343371,0.5152403185852332,0.3796461813033083,0.4127601124825789,0.485448755799534
ecnn1,1,4,PM,3,0.5153933817846721,0.5155080097243834,0.44048227314567695,0.4158958223841405,0.4847288371535648
ecnn1,1,4,PM,4,0.6409574645404169,0.6296186546924176,0.4930839261352451,0.4697080490777975,0.5790498960839938
ecnn1,1,4,PM,5,0.5711239471673545,0.5673689472772148,0.4904199167559812,0.4515100746319961,0.5177511997266959
ecnn1,1,4,PM,6,0.4106818667121571,0.4345453927798367,0.3036949939381708,0.36957740789953175,0.3954890782921229
ecnn1,1,4,PM,7,0.5228719324598702,0.5201696118976211,0.4713132954971493,0.4118845841579604,0.4803433658115881
ecnn1,1,4,PM,8,0.4762402706389493,0.474072451125027,0.3227953247676774,0.4166143728267889,0.4471072387915355
ecnn1,1,4,PM,9,0.5026512109953521,0.49656632244956894,0.436611185947988,0.3893303857550326,0.4536576039090614
ecnn1,1,4,PM,10,0.4595513780186042,0.4706090905306116,0.3566449252131703,0.39115804476301397,0.4609355673159738
ecnn1,1,4,PM,11,0.5317254198480869,0.5067531659362711,0.5609809117651113,0.43461564163006,0.5281116464401663
ecnn1,1,4,PM,12,0.4686080733094728,0.4873002118929777,0.3602087415168257,0.4467938860704493,0.4757604959078085
ecnn1,1,5,AM,1,0.5577504318464258,0.5498763690499789,0.5178504839242011,0.4600889886248764,0.5324637618182072
ecnn1,1,5,AM,2,0.551922715502952,0.5382811156655295,0.5206978515960572,0.44931618746119495,0.5343646972780705
ecnn1,1,5,AM,3,0.5410020838539008,0.5384113887636138,0.447185130716744,0.4400534489920718,0.5066760983671857
ecnn1,1,5,AM,4,0.5174505562755121,0.5194311576644485,0.4540042552264545,0.4894976362029707,0.5458001918695087
ecnn1,1,5,AM,5,0.4900457479883852,0.4776032449680186,0.4722497166932561,0.3743796967506497,0.44039165904310695
ecnn1,1,5,AM,6,0.4942764746331616,0.4813882567861164,0.4566598247779813,0.39678915430983774,0.4693933208901695
ecnn1,1,5,AM,7,0.5150158171863787,0.4979773630052421,0.4616102353796622,0.3747717990633749,0.447584935746706
ecnn1,1,5,AM,8,0.5471165114862885,0.5605770119480712,0.4738711458835719,0.5174847961370871,0.5620553200460912
ecnn1,1,5,AM,9,0.5170329033894513,0.5113491556205342,0.3704690764054596,0.4207480271988867,0.4645047107165247
ecnn1,1,5,AM,10,0.568839365832309,0.5661634163016039,0.5148542023919851,0.4836115896283264,0.5552806786723167
ecnn1,1,5,AM,11,0.5412887120302583,0.5446291313388721,0.40561420329111575,0.4632308993448615,0.5321585999349469
ecnn1,1,5,AM,12,0.43290351350483497,0.4467096595537472,0.3804280958802879,0.3998065220435539,0.4476729451219006
ecnn1,1,5,PM,1,0.649319183590052,0.6334599928831054,0.6574537344052764,0.4945665627422964,0.6048819486262912
ecnn1,1,5,PM,2,0.6449875482872962,0.6263935461846561,0.5841229763900077,0.5036607410931724,0.6108087737282072
ecnn1,1,5,PM,3,0.5534195336235873,0.5412123602359811,0.5640480506685474,0.4089187237777931,0.5216290027254918
ecnn1,1,5,PM,4,0.5850260605715057,0.5686418802595624,0.5560105029002372,0.4367411729345578,0.5340159908249982
ecnn1,1,5,PM,5,0.6155365382979224,0.5894031771968926,0.6192515535262109,0.42926827671909495,0.576467252369818
ecnn1,1,5,PM,6,0.6358321452920954,0.6205087844076995,0.5503334014433229,0.4900119065460296,0.5809814760274871
ecnn1,1,5,PM,7,0.5710832589437765,0.5394034041137125,0.5503129996388199,0.3999724213261673,0.5378310066602202
