model,sb,day,time,trial,acc
ecnn2,1,1,AM,5,0.5862893583100837
ecnn2,1,1,AM,6,0.5712468193384224
ecnn2,1,1,AM,7,0.6962387571545381
ecnn2,1,1,AM,8,0.6422832980972516
ecnn2,1,1,AM,9,0.6109746109746109
ecnn2,1,1,AM,10,0.6209150326797386
ecnn2,1,1,AM,11,0.6322761942994781
ecnn2,1,1,AM,12,0.5981659024593581
ecnn2,1,1,PM,1,0.6381811054488435
ecnn2,1,1,PM,2,0.6231702216645755
ecnn2,1,1,PM,3,0.607421875
ecnn2,1,1,PM,4,0.5844692275919041
ecnn2,1,1,PM,5,0.6345157433240335
ecnn2,1,1,PM,6,0.6119770303527482
ecnn2,1,1,PM,7,0.6673314718787395
ecnn2,1,1,PM,8,0.6158026755852842
ecnn2,1,1,PM,9,0.5727381426863292
ecnn2,1,1,PM,10,0.5746938775510204
ecnn2,1,1,PM,11,0.6856455493183641
ecnn2,1,1,PM,12,0.6166525781910397
ecnn2,1,2,AM,1,0.5509541209906618
ecnn2,1,2,AM,2,0.4634655532359082
ecnn2,1,2,AM,3,0.5296012887635925
ecnn2,1,2,AM,4,0.4359718193120597
ecnn2,1,2,AM,5,0.5249898415278342
ecnn2,1,2,AM,6,0.4538653366583541
ecnn2,1,2,AM,7,0.5386146496815286
ecnn2,1,2,AM,8,0.5045492142266336
ecnn2,1,2,AM,9,0.5910721402949383
ecnn2,1,2,AM,10,0.473036093418259
ecnn2,1,2,AM,11,0.577414205905826
ecnn2,1,2,AM,12,0.4443528441879637
ecnn2,1,2,PM,1,0.5351941747572816
ecnn2,1,2,PM,2,0.4983347210657785
ecnn2,1,2,PM,3,0.5018152480839048
ecnn2,1,2,PM,4,0.4770566349731294
ecnn2,1,2,PM,5,0.5285714285714286
ecnn2,1,2,PM,6,0.5248945147679325
ecnn2,1,2,PM,7,0.4856408058294042
ecnn2,1,2,PM,8,0.4899301274147144
ecnn2,1,2,PM,9,0.5442424242424242
ecnn2,1,2,PM,10,0.5367556468172484
ecnn2,1,2,PM,11,0.5670755836960824
ecnn2,1,2,PM,12,0.5322314049586777
ecnn2,1,3,AM,1,0.5333882934872217
ecnn2,1,3,AM,2,0.4288879042977404
ecnn2,1,3,AM,3,0.5171462357114702
ecnn2,1,3,AM,4,0.4536395147313692
ecnn2,1,3,AM,5,0.5373073803730738
