model,sb,day,time,trial,stability
ecnn2,1,3,AM,1,0.7884536082474227
ecnn2,1,3,AM,2,0.7956560283687943
ecnn2,1,3,AM,3,0.7847003154574133
ecnn2,1,3,AM,4,0.8019072388383182
ecnn2,1,3,AM,5,0.8113590263691683
ecnn2,1,3,AM,6,0.8329827513672696
ecnn2,1,3,AM,7,0.7850697292863003
ecnn2,1,3,AM,8,0.7567683712935109
ecnn2,1,3,AM,9,0.8187474077146413
ecnn2,1,3,AM,10,0.7594254937163375
ecnn2,1,3,AM,11,0.8181818181818181
ecnn2,1,3,AM,12,0.8055196205260888
ecnn2,1,3,PM,1,0.8036088963491397
ecnn2,1,3,PM,2,0.7597765363128491
ecnn2,1,3,PM,3,0.8065723793677204
ecnn2,1,3,PM,4,0.7331340734415029
ecnn2,1,3,PM,5,0.7604081632653061
ecnn2,1,3,PM,6,0.7846746575342466
ecnn2,1,3,PM,7,0.7548017981201471
ecnn2,1,3,PM,8,0.7876366694701429
ecnn2,1,3,PM,9,0.7851915626345243
ecnn2,1,3,PM,10,0.7480752780153977
ecnn2,1,3,PM,11,0.7672801635991819
ecnn2,1,3,PM,12,0.7129909365558913
ecnn2,1,4,AM,1,0.8512124948623099
ecnn2,1,4,AM,2,0.8357206803939122
ecnn2,1,4,AM,3,0.8343711083437111
ecnn2,1,4,AM,4,0.7929854576561164
ecnn2,1,4,AM,5,0.8428628548580568
ecnn2,1,4,AM,6,0.7979363714531384
ecnn2,1,4,AM,7,0.8505984316962443
ecnn2,1,4,AM,8,0.7970890410958904
ecnn2,1,4,AM,9,0.822502030869212
ecnn2,1,4,AM,10,0.7918436703483432
ecnn2,1,4,AM,11,0.8179166666666666
ecnn2,1,4,AM,12,0.7916142557651992
ecnn2,1,4,PM,1,0.8295780417861532
ecnn2,1,4,PM,2,0.7463064584212749
ecnn2,1,4,PM,3,0.8263317453443049
ecnn2,1,4,PM,4,0.7884933774834437
ecnn2,1,4,PM,5,0.8070318887980377
ecnn2,1,4,PM,6,0.7801706623323852
ecnn2,1,4,PM,7,0.8089198036006546
ecnn2,1,4,PM,8,0.7492771581990914
ecnn2,1,4,PM,9,0.8450819672131148
ecnn2,1,4,PM,10,0.8127677806341045
ecnn2,1,4,PM,11,0.8348547717842324
ecnn2,1,4,PM,12,0.7776365946632783
ecnn2,1,5,AM,1,0.7855644146034411
ecnn2,1,5,AM,2,0.7273890784982935
ecnn2,1,5,AM,3,0.7830414012738853
ecnn2,1,5,AM,4,0.72524646378054
ecnn2,1,5,AM,5,0.7558514931396287
ecnn2,1,5,AM,6,0.6877402819307987
ecnn2,1,5,AM,7,0.7383697813121273
ecnn2,1,5,AM,8,0.7094622759483118
ecnn2,1,5,AM,9,0.7797029702970297
ecnn2,1,5,AM,10,0.7287705956907478
ecnn2,1,5,AM,11,0.744758064516129
ecnn2,1,5,AM,12,0.7496907216494846
ecnn2,1,5,PM,1,0.7925721058870012
ecnn2,1,5,PM,2,0.7327659574468085
ecnn2,1,5,PM,3,0.8156085725839062
ecnn2,1,5,PM,4,0.7695214105793451
ecnn2,1,5,PM,5,0.7921414538310413
ecnn2,1,5,PM,6,0.7579512598099959
ecnn2,1,5,PM,7,0.7644230769230769
ecnn2,1,5,PM,8,0.7355749273557493
ecnn2,1,5,PM,9,0.7943740095087163
ecnn2,1,5,PM,10,0.7340993024210094
ecnn2,1,5,PM,11,0.7969379532634971
ecnn2,1,5,PM,12,0.7480883602378929
ecnn3,1,1,AM,1,0.9635151039623382
ecnn3,1,1,AM,2,0.9309623430962344
ecnn3,1,1,AM,3,0.8109293976864779
ecnn3,1,1,AM,4,0.9222453222453222
ecnn3,1,1,AM,5,0.9577352472089314
ecnn3,1,1,AM,6,0.94102672889266
ecnn3,1,1,AM,7,0.9513292433537832
ecnn3,1,1,AM,8,0.9454314720812182
ecnn3,1,1,AM,9,0.8566161409258499
ecnn3,1,1,AM,10,0.9272578667756436
ecnn3,1,1,AM,11,0.93855421686747
ecnn3,1,1,AM,12,0.9341117597998332
ecnn3,1,1,PM,1,0.9603921568627451
ecnn3,1,1,PM,2,0.9548117154811716
ecnn3,1,1,PM,3,0.8253223915592028
ecnn3,1,1,PM,4,0.9384297520661156
ecnn3,1,1,PM,5,0.9513556618819776
ecnn3,1,1,PM,6,0.9606073040623716
ecnn3,1,1,PM,7,0.9341580207501996
ecnn3,1,1,PM,8,0.93099121706399
ecnn3,1,1,PM,9,0.8289473684210527
ecnn3,1,1,PM,10,0.9497754185381788
ecnn3,1,1,PM,11,0.9514640994785399
ecnn3,1,1,PM,12,0.945031712473573
ecnn3,1,2,AM,1,0.8058489033306255
ecnn3,1,2,AM,2,0.7744360902255639
ecnn3,1,2,AM,3,0.8017727639000806
ecnn3,1,2,AM,4,0.7728026533996684
ecnn3,1,2,AM,5,0.8150406504065041
ecnn3,1,2,AM,6,0.7463617463617463
ecnn3,1,2,AM,7,0.8199920350457985
ecnn3,1,2,AM,8,0.7898220935043443
ecnn3,1,2,AM,9,0.8337320574162679
ecnn3,1,2,AM,10,0.7476635514018692
ecnn3,1,2,AM,11,0.8135728542914171
ecnn3,1,2,AM,12,0.7690721649484535
ecnn3,1,2,PM,1,0.7932011331444759
ecnn3,1,2,PM,2,0.7755102040816326
ecnn3,1,2,PM,3,0.8018563357546409
ecnn3,1,2,PM,4,0.7737799834574028
ecnn3,1,2,PM,5,0.7999183340138832
ecnn3,1,2,PM,6,0.78978471929084
ecnn3,1,2,PM,7,0.7881646655231561
ecnn3,1,2,PM,8,0.7767269736842105
